Byte pair, Frequency
(67, 111), -> [37]
(111, 112), -> [249]
(112, 273), -> [5]
(273, 112), -> [20]
(112, 97), -> [44]
(97, 339), -> [41]
(339, 256), -> [9]
(256, 323), -> [17]
(323, 288), -> [126]
(288, 87), -> [6]
(87, 105), -> [76]
(105, 107), -> [44]
(107, 105), -> [25]
(105, 112), -> [45]
(112, 101), -> [88]
(101, 100), -> [107]
(100, 105), -> [227]
(105, 338), -> [55]
(338, 271), -> [1]
(271, 298), -> [70]
(298, 99), -> [94]
(99, 108), -> [68]
(108, 256), -> [124]
(256, 279), -> [23]
(279, 311), -> [3]
(311, 116), -> [246]
(116, 257), -> [86]
(257, 348), -> [6]
(348, 351), -> [10]
(351, 70), -> [11]
(70, 101), -> [159]
(101, 98), -> [172]
(98, 32), -> [17]
(32, 49), -> [124]
(49, 54), -> [76]
(54, 297), -> [48]
(297, 52), -> [55]
(52, 294), -> [1]
(294, 45), -> [1]
(45, 45), -> [2]
(45, 10), -> [1]
(10, 10), -> [13]
(10, 77), -> [12]
(77, 97), -> [186]
(97, 263), -> [83]
(263, 32), -> [276]
(32, 109), -> [90]
(109, 290), -> [36]
(290, 117), -> [7]
(117, 10), -> [1]
(10, 87), -> [9]
(105, 97), -> [71]
(97, 354), -> [1]
(354, 70), -> [5]
(70, 320), -> [5]
(320, 256), -> [26]
(256, 69), -> [11]
(69, 110), -> [36]
(110, 99), -> [23]
(99, 121), -> [8]
(121, 99), -> [2]
(108, 111), -> [135]
(97, 10), -> [14]
(10, 83), -> [13]
(83, 101), -> [146]
(101, 271), -> [146]
(271, 284), -> [110]
(284, 10), -> [1]
(10, 67), -> [8]
(67, 320), -> [3]
(320, 347), -> [23]
(347, 256), -> [36]
(256, 97), -> [25]
(97, 99), -> [197]
(99, 99), -> [56]
(99, 321), -> [59]
(321, 110), -> [176]
(110, 116), -> [165]
(116, 10), -> [17]
(10, 76), -> [10]
(76, 111), -> [26]
(111, 103), -> [83]
(103, 32), -> [100]
(32, 263), -> [88]
(263, 10), -> [1]
(10, 80), -> [9]
(80, 278), -> [26]
(278, 115), -> [164]
(115, 264), -> [125]
(264, 292), -> [38]
(292, 305), -> [2]
(305, 111), -> [9]
(111, 108), -> [189]
(108, 115), -> [14]
(115, 10), -> [29]
(67, 264), -> [43]
(264, 116), -> [35]
(116, 290), -> [40]
(290, 116), -> [121]
(116, 262), -> [147]
(262, 32), -> [1]
(32, 104), -> [67]
(104, 105), -> [175]
(105, 100), -> [161]
(100, 101), -> [152]
(101, 10), -> [17]
(10, 40), -> [1]
(40, 84), -> [4]
(84, 111), -> [92]
(112, 41), -> [2]
(41, 10), -> [40]
(76, 105), -> [75]
(105, 102), -> [52]
(102, 256), -> [13]
(256, 319), -> [37]
(319, 99), -> [17]
(99, 271), -> [24]
(271, 101), -> [28]
(101, 278), -> [18]
(278, 10), -> [4]
(10, 84), -> [11]
(103, 103), -> [38]
(103, 108), -> [33]
(256, 76), -> [7]
(101, 272), -> [11]
(272, 115), -> [45]
(115, 117), -> [94]
(117, 98), -> [62]
(98, 115), -> [16]
(115, 342), -> [22]
(342, 298), -> [22]
(298, 264), -> [168]
(264, 10), -> [6]
(10, 316), -> [3]
(316, 298), -> [46]
(298, 339), -> [48]
(339, 114), -> [24]
(114, 121), -> [43]
(121, 10), -> [13]
(256, 316), -> [10]
(114, 273), -> [116]
(273, 115), -> [29]
(10, 65), -> [19]
(65, 99), -> [32]
(99, 111), -> [83]
(108, 97), -> [127]
(97, 100), -> [190]
(100, 349), -> [13]
(349, 319), -> [12]
(319, 97), -> [13]
(97, 326), -> [5]
(326, 101), -> [8]
(101, 118), -> [82]
(118, 293), -> [5]
(293, 290), -> [27]
(116, 115), -> [59]
(67, 117), -> [10]
(117, 108), -> [125]
(108, 116), -> [33]
(116, 117), -> [86]
(117, 114), -> [188]
(114, 292), -> [15]
(292, 339), -> [9]
(339, 347), -> [13]
(347, 312), -> [3]
(312, 10), -> [2]
(256, 67), -> [21]
(347, 117), -> [34]
(117, 262), -> [17]
(262, 115), -> [34]
(87, 101), -> [66]
(101, 274), -> [16]
(274, 267), -> [6]
(267, 10), -> [2]
(256, 87), -> [22]
(267, 32), -> [258]
(32, 115), -> [110]
(10, 68), -> [7]
(68, 105), -> [39]
(105, 115), -> [234]
(115, 99), -> [49]
(103, 114), -> [73]
(114, 97), -> [242]
(97, 112), -> [95]
(112, 104), -> [75]
(104, 121), -> [12]
(10, 70), -> [20]
(70, 105), -> [52]
(105, 108), -> [144]
(108, 109), -> [38]
(109, 111), -> [72]
(84, 321), -> [71]
(321, 114), -> [77]
(114, 115), -> [82]
(101, 256), -> [20]
(256, 274), -> [18]
(274, 115), -> [30]
(115, 111), -> [89]
(111, 10), -> [3]
(70, 111), -> [34]
(111, 111), -> [106]
(111, 116), -> [96]
(116, 110), -> [19]
(110, 111), -> [53]
(116, 310), -> [9]
(310, 10), -> [16]
(10, 281), -> [8]
(281, 102), -> [4]
(102, 278), -> [20]
(278, 290), -> [12]
(290, 99), -> [47]
(99, 310), -> [38]
(256, 281), -> [12]
(99, 349), -> [17]
(349, 115), -> [11]
(10, 69), -> [4]
(69, 120), -> [20]
(120, 116), -> [15]
(116, 278), -> [157]
(278, 110), -> [35]
(110, 292), -> [5]
(292, 108), -> [6]
(108, 263), -> [31]
(263, 107), -> [14]
(107, 115), -> [18]
(10, 311), -> [6]
(10, 49), -> [3]
(49, 51), -> [118]
(51, 54), -> [18]
(54, 32), -> [13]
(32, 108), -> [29]
(108, 270), -> [56]
(270, 103), -> [29]
(103, 117), -> [38]
(117, 97), -> [2]
(97, 103), -> [100]
(103, 310), -> [35]
(108, 101), -> [232]
(84, 274), -> [6]
(274, 107), -> [10]
(107, 10), -> [1]
(281, 97), -> [16]
(100, 10), -> [3]
(10, 86), -> [6]
(86, 105), -> [50]
(105, 101), -> [111]
(101, 119), -> [219]
(119, 32), -> [200]
(115, 321), -> [17]
(114, 99), -> [7]
(99, 101), -> [86]
(105, 339), -> [89]
(339, 291), -> [37]
(291, 121), -> [26]
(10, 32), -> [15]
(32, 70), -> [53]
(101, 347), -> [28]
(114, 268), -> [30]
(268, 271), -> [5]
(80, 97), -> [39]
(103, 256), -> [38]
(256, 115), -> [48]
(115, 293), -> [1]
(293, 105), -> [8]
(105, 45), -> [2]
(45, 112), -> [18]
(112, 114), -> [104]
(114, 111), -> [190]
(116, 342), -> [3]
(342, 116), -> [35]
(116, 101), -> [91]
(70, 313), -> [12]
(313, 32), -> [12]
(32, 87), -> [104]
(97, 257), -> [47]
(257, 275), -> [19]
(275, 102), -> [38]
(102, 320), -> [9]
(256, 290), -> [2]
(70, 283), -> [11]
(283, 275), -> [27]
(275, 274), -> [6]
(274, 98), -> [112]
(98, 353), -> [172]
(353, 257), -> [21]
(257, 115), -> [43]
(115, 101), -> [134]
(256, 345), -> [5]
(345, 40), -> [5]
(40, 274), -> [4]
(353, 41), -> [1]
(41, 294), -> [3]
(294, 311), -> [1]
(80, 291), -> [5]
(291, 116), -> [45]
(116, 114), -> [243]
(97, 105), -> [129]
(105, 266), -> [33]
(266, 351), -> [48]
(351, 345), -> [5]
(345, 263), -> [6]
(32, 338), -> [38]
(338, 99), -> [24]
(111, 99), -> [108]
(99, 107), -> [104]
(107, 116), -> [2]
(116, 97), -> [131]
(108, 32), -> [249]
(32, 100), -> [53]
(100, 114), -> [22]
(114, 310), -> [74]
(310, 115), -> [112]
(10, 282), -> [43]
(282, 266), -> [208]
(266, 97), -> [29]
(97, 266), -> [219]
(266, 275), -> [65]
(275, 261), -> [23]
(261, 50), -> [101]
(50, 51), -> [145]
(51, 32), -> [38]
(32, 77), -> [160]
(77, 84), -> [48]
(84, 86), -> [29]
(86, 32), -> [22]
(32, 86), -> [38]
(101, 111), -> [100]
(111, 32), -> [225]
(77, 312), -> [133]
(312, 340), -> [221]
(340, 32), -> [166]
(32, 65), -> [161]
(65, 119), -> [112]
(119, 271), -> [130]
(271, 100), -> [277]
(100, 115), -> [78]
(10, 66), -> [5]
(66, 291), -> [5]
(291, 110), -> [11]
(110, 9), -> [1]
(9, 309), -> [1]
(309, 65), -> [3]
(65, 108), -> [112]
(108, 105), -> [190]
(115, 279), -> [33]
(279, 282), -> [5]
(282, 116), -> [58]
(68, 342), -> [207]
(342, 314), -> [194]
(314, 49), -> [207]
(51, 257), -> [22]
(257, 49), -> [6]
(49, 57), -> [144]
(57, 56), -> [44]
(56, 57), -> [41]
(57, 32), -> [41]
(32, 40), -> [265]
(40, 97), -> [2]
(256, 51), -> [16]
(51, 52), -> [22]
(52, 41), -> [10]
(87, 310), -> [16]
(310, 266), -> [108]
(266, 281), -> [8]
(100, 296), -> [11]
(296, 257), -> [15]
(257, 80), -> [22]
(80, 290), -> [17]
(290, 110), -> [65]
(110, 115), -> [31]
(115, 121), -> [22]
(121, 108), -> [50]
(108, 118), -> [28]
(118, 270), -> [17]
(270, 105), -> [45]
(257, 85), -> [2]
(85, 83), -> [46]
(83, 10), -> [2]
(10, 79), -> [5]
(79, 99), -> [200]
(99, 117), -> [25]
(117, 112), -> [46]
(97, 298), -> [199]
(264, 115), -> [46]
(83, 296), -> [25]
(296, 278), -> [34]
(278, 45), -> [38]
(45, 115), -> [31]
(264, 103), -> [202]
(103, 119), -> [80]
(119, 265), -> [101]
(265, 116), -> [134]
(116, 272), -> [75]
(272, 112), -> [23]
(111, 100), -> [94]
(100, 117), -> [52]
(117, 99), -> [70]
(99, 272), -> [7]
(272, 100), -> [10]
(105, 320), -> [35]
(320, 99), -> [111]
(99, 116), -> [58]
(116, 283), -> [10]
(283, 98), -> [5]
(98, 312), -> [9]
(312, 263), -> [17]
(263, 310), -> [21]
(115, 119), -> [8]
(119, 286), -> [31]
(286, 270), -> [30]
(270, 32), -> [276]
(32, 97), -> [67]
(10, 89), -> [1]
(89, 101), -> [73]
(271, 262), -> [27]
(262, 97), -> [46]
(99, 298), -> [28]
(298, 118), -> [51]
(118, 101), -> [55]
(101, 9), -> [2]
(9, 261), -> [1]
(261, 48), -> [90]
(48, 52), -> [11]
(52, 226), -> [3]
(226, 128), -> [97]
(128, 147), -> [54]
(147, 112), -> [2]
(310, 290), -> [12]
(87, 291), -> [43]
(291, 107), -> [70]
(108, 98), -> [65]
(353, 115), -> [14]
(115, 115), -> [110]
(115, 296), -> [88]
(296, 108), -> [59]
(108, 310), -> [54]
(103, 115), -> [17]
(115, 118), -> [1]
(118, 105), -> [130]
(111, 115), -> [139]
(115, 112), -> [62]
(112, 278), -> [70]
(278, 102), -> [48]
(102, 291), -> [90]
(291, 109), -> [68]
(109, 270), -> [81]
(270, 99), -> [64]
(281, 108), -> [13]
(118, 310), -> [6]
(65, 312), -> [15]
(312, 116), -> [66]
(116, 263), -> [23]
(32, 282), -> [16]
(266, 40), -> [14]
(40, 98), -> [2]
(98, 114), -> [143]
(111, 267), -> [41]
(267, 278), -> [28]
(278, 41), -> [4]
(77, 271), -> [121]
(271, 106), -> [3]
(106, 322), -> [3]
(322, 256), -> [3]
(256, 70), -> [21]
(70, 263), -> [10]
(263, 108), -> [5]
(97, 273), -> [156]
(273, 40), -> [85]
(40, 103), -> [1]
(114, 270), -> [52]
(270, 100), -> [75]
(100, 109), -> [10]
(115, 9), -> [1]
(9, 70), -> [1]
(70, 117), -> [18]
(117, 301), -> [11]
(301, 32), -> [59]
(339, 10), -> [2]
(340, 292), -> [16]
(292, 99), -> [11]
(79, 265), -> [9]
(265, 324), -> [2]
(324, 9), -> [1]
(9, 78), -> [1]
(78, 97), -> [56]
(97, 115), -> [203]
(115, 104), -> [149]
(104, 118), -> [37]
(118, 343), -> [42]
(343, 101), -> [15]
(101, 257), -> [93]
(257, 84), -> [25]
(84, 290), -> [30]
(110, 310), -> [39]
(101, 101), -> [101]
(10, 71), -> [2]
(71, 290), -> [12]
(290, 114), -> [9]
(80, 111), -> [78]
(112, 32), -> [157]
(32, 99), -> [73]
(273, 102), -> [20]
(102, 111), -> [23]
(108, 107), -> [30]
(107, 32), -> [178]
(32, 114), -> [11]
(32, 274), -> [49]
(274, 116), -> [4]
(110, 97), -> [65]
(10, 73), -> [15]
(73, 110), -> [139]
(110, 339), -> [8]
(114, 353), -> [11]
(353, 290), -> [16]
(86, 111), -> [27]
