0. (67, 111 has count: 37)
1. (111, 112 has count: 249)
2. (112, 273 has count: 5)
3. (273, 112 has count: 20)
4. (112, 97 has count: 44)
5. (97, 339 has count: 41)
6. (339, 256 has count: 9)
7. (256, 323 has count: 17)
8. (323, 288 has count: 126)
9. (288, 87 has count: 6)
10. (87, 105 has count: 76)
11. (105, 107 has count: 44)
12. (107, 105 has count: 25)
13. (105, 112 has count: 45)
14. (112, 101 has count: 88)
15. (101, 100 has count: 107)
16. (100, 105 has count: 227)
17. (105, 338 has count: 55)
18. (338, 271 has count: 1)
19. (271, 298 has count: 70)
20. (298, 99 has count: 94)
21. (99, 108 has count: 68)
22. (108, 256 has count: 124)
23. (256, 279 has count: 23)
24. (279, 311 has count: 3)
25. (311, 116 has count: 246)
26. (116, 257 has count: 86)
27. (257, 348 has count: 6)
28. (348, 351 has count: 10)
29. (351, 70 has count: 11)
30. (70, 101 has count: 159)
31. (101, 98 has count: 172)
32. (98, 32 has count: 17)
33. (32, 49 has count: 124)
34. (49, 54 has count: 76)
35. (54, 297 has count: 48)
36. (297, 52 has count: 55)
37. (52, 294 has count: 1)
38. (294, 45 has count: 1)
39. (45, 45 has count: 2)
40. (45, 10 has count: 1)
41. (10, 10 has count: 13)
42. (10, 77 has count: 12)
43. (77, 97 has count: 186)
44. (97, 263 has count: 83)
45. (263, 32 has count: 276)
46. (32, 109 has count: 90)
47. (109, 290 has count: 36)
48. (290, 117 has count: 7)
49. (117, 10 has count: 1)
50. (10, 87 has count: 9)
51. (105, 97 has count: 71)
52. (97, 354 has count: 1)
53. (354, 70 has count: 5)
54. (70, 320 has count: 5)
55. (320, 256 has count: 26)
56. (256, 69 has count: 11)
57. (69, 110 has count: 36)
58. (110, 99 has count: 23)
59. (99, 121 has count: 8)
60. (121, 99 has count: 2)
61. (108, 111 has count: 135)
62. (97, 10 has count: 14)
63. (10, 83 has count: 13)
64. (83, 101 has count: 146)
65. (101, 271 has count: 146)
66. (271, 284 has count: 110)
67. (284, 10 has count: 1)
68. (10, 67 has count: 8)
69. (67, 320 has count: 3)
70. (320, 347 has count: 23)
71. (347, 256 has count: 36)
72. (256, 97 has count: 25)
73. (97, 99 has count: 197)
74. (99, 99 has count: 56)
75. (99, 321 has count: 59)
76. (321, 110 has count: 176)
77. (110, 116 has count: 165)
78. (116, 10 has count: 17)
79. (10, 76 has count: 10)
80. (76, 111 has count: 26)
81. (111, 103 has count: 83)
82. (103, 32 has count: 100)
83. (32, 263 has count: 88)
84. (263, 10 has count: 1)
85. (10, 80 has count: 9)
86. (80, 278 has count: 26)
87. (278, 115 has count: 164)
88. (115, 264 has count: 125)
89. (264, 292 has count: 38)
90. (292, 305 has count: 2)
91. (305, 111 has count: 9)
92. (111, 108 has count: 189)
93. (108, 115 has count: 14)
94. (115, 10 has count: 29)
95. (67, 264 has count: 43)
96. (264, 116 has count: 35)
97. (116, 290 has count: 40)
98. (290, 116 has count: 121)
99. (116, 262 has count: 147)
100. (262, 32 has count: 1)
101. (32, 104 has count: 67)
102. (104, 105 has count: 175)
103. (105, 100 has count: 161)
104. (100, 101 has count: 152)
105. (101, 10 has count: 17)
106. (10, 40 has count: 1)
107. (40, 84 has count: 4)
108. (84, 111 has count: 92)
109. (112, 41 has count: 2)
110. (41, 10 has count: 40)
111. (76, 105 has count: 75)
112. (105, 102 has count: 52)
113. (102, 256 has count: 13)
114. (256, 319 has count: 37)
115. (319, 99 has count: 17)
116. (99, 271 has count: 24)
117. (271, 101 has count: 28)
118. (101, 278 has count: 18)
119. (278, 10 has count: 4)
120. (10, 84 has count: 11)
121. (103, 103 has count: 38)
122. (103, 108 has count: 33)
123. (256, 76 has count: 7)
124. (101, 272 has count: 11)
125. (272, 115 has count: 45)
126. (115, 117 has count: 94)
127. (117, 98 has count: 62)
128. (98, 115 has count: 16)
129. (115, 342 has count: 22)
130. (342, 298 has count: 22)
131. (298, 264 has count: 168)
132. (264, 10 has count: 6)
133. (10, 316 has count: 3)
134. (316, 298 has count: 46)
135. (298, 339 has count: 48)
136. (339, 114 has count: 24)
137. (114, 121 has count: 43)
138. (121, 10 has count: 13)
139. (256, 316 has count: 10)
140. (114, 273 has count: 116)
141. (273, 115 has count: 29)
142. (10, 65 has count: 19)
143. (65, 99 has count: 32)
144. (99, 111 has count: 83)
145. (108, 97 has count: 127)
146. (97, 100 has count: 190)
147. (100, 349 has count: 13)
148. (349, 319 has count: 12)
149. (319, 97 has count: 13)
150. (97, 326 has count: 5)
151. (326, 101 has count: 8)
152. (101, 118 has count: 82)
153. (118, 293 has count: 5)
154. (293, 290 has count: 27)
155. (116, 115 has count: 59)
156. (67, 117 has count: 10)
157. (117, 108 has count: 125)
158. (108, 116 has count: 33)
159. (116, 117 has count: 86)
160. (117, 114 has count: 188)
161. (114, 292 has count: 15)
162. (292, 339 has count: 9)
163. (339, 347 has count: 13)
164. (347, 312 has count: 3)
165. (312, 10 has count: 2)
166. (256, 67 has count: 21)
167. (347, 117 has count: 34)
168. (117, 262 has count: 17)
169. (262, 115 has count: 34)
170. (87, 101 has count: 66)
171. (101, 274 has count: 16)
172. (274, 267 has count: 6)
173. (267, 10 has count: 2)
174. (256, 87 has count: 22)
175. (267, 32 has count: 258)
176. (32, 115 has count: 110)
177. (10, 68 has count: 7)
178. (68, 105 has count: 39)
179. (105, 115 has count: 234)
180. (115, 99 has count: 49)
181. (103, 114 has count: 73)
182. (114, 97 has count: 242)
183. (97, 112 has count: 95)
184. (112, 104 has count: 75)
185. (104, 121 has count: 12)
186. (10, 70 has count: 20)
187. (70, 105 has count: 52)
188. (105, 108 has count: 144)
189. (108, 109 has count: 38)
190. (109, 111 has count: 72)
191. (84, 321 has count: 71)
192. (321, 114 has count: 77)
193. (114, 115 has count: 82)
194. (101, 256 has count: 20)
195. (256, 274 has count: 18)
196. (274, 115 has count: 30)
197. (115, 111 has count: 89)
198. (111, 10 has count: 3)
199. (70, 111 has count: 34)
200. (111, 111 has count: 106)
201. (111, 116 has count: 96)
202. (116, 110 has count: 19)
203. (110, 111 has count: 53)
204. (116, 310 has count: 9)
205. (310, 10 has count: 16)
206. (10, 281 has count: 8)
207. (281, 102 has count: 4)
208. (102, 278 has count: 20)
209. (278, 290 has count: 12)
210. (290, 99 has count: 47)
211. (99, 310 has count: 38)
212. (256, 281 has count: 12)
213. (99, 349 has count: 17)
214. (349, 115 has count: 11)
215. (10, 69 has count: 4)
216. (69, 120 has count: 20)
217. (120, 116 has count: 15)
218. (116, 278 has count: 157)
219. (278, 110 has count: 35)
220. (110, 292 has count: 5)
221. (292, 108 has count: 6)
222. (108, 263 has count: 31)
223. (263, 107 has count: 14)
224. (107, 115 has count: 18)
225. (10, 311 has count: 6)
226. (10, 49 has count: 3)
227. (49, 51 has count: 118)
228. (51, 54 has count: 18)
229. (54, 32 has count: 13)
230. (32, 108 has count: 29)
231. (108, 270 has count: 56)
232. (270, 103 has count: 29)
233. (103, 117 has count: 38)
234. (117, 97 has count: 2)
235. (97, 103 has count: 100)
236. (103, 310 has count: 35)
237. (108, 101 has count: 232)
238. (84, 274 has count: 6)
239. (274, 107 has count: 10)
240. (107, 10 has count: 1)
241. (281, 97 has count: 16)
242. (100, 10 has count: 3)
243. (10, 86 has count: 6)
244. (86, 105 has count: 50)
245. (105, 101 has count: 111)
246. (101, 119 has count: 219)
247. (119, 32 has count: 200)
248. (115, 321 has count: 17)
249. (114, 99 has count: 7)
250. (99, 101 has count: 86)
251. (105, 339 has count: 89)
252. (339, 291 has count: 37)
253. (291, 121 has count: 26)
254. (10, 32 has count: 15)
255. (32, 70 has count: 53)
256. (101, 347 has count: 28)
257. (114, 268 has count: 30)
258. (268, 271 has count: 5)
259. (80, 97 has count: 39)
260. (103, 256 has count: 38)
261. (256, 115 has count: 48)
262. (115, 293 has count: 1)
263. (293, 105 has count: 8)
264. (105, 45 has count: 2)
265. (45, 112 has count: 18)
266. (112, 114 has count: 104)
267. (114, 111 has count: 190)
268. (116, 342 has count: 3)
269. (342, 116 has count: 35)
270. (116, 101 has count: 91)
271. (70, 313 has count: 12)
272. (313, 32 has count: 12)
273. (32, 87 has count: 104)
274. (97, 257 has count: 47)
275. (257, 275 has count: 19)
276. (275, 102 has count: 38)
277. (102, 320 has count: 9)
278. (256, 290 has count: 2)
279. (70, 283 has count: 11)
280. (283, 275 has count: 27)
281. (275, 274 has count: 6)
282. (274, 98 has count: 112)
283. (98, 353 has count: 172)
284. (353, 257 has count: 21)
285. (257, 115 has count: 43)
286. (115, 101 has count: 134)
287. (256, 345 has count: 5)
288. (345, 40 has count: 5)
289. (40, 274 has count: 4)
290. (353, 41 has count: 1)
291. (41, 294 has count: 3)
292. (294, 311 has count: 1)
293. (80, 291 has count: 5)
294. (291, 116 has count: 45)
295. (116, 114 has count: 243)
296. (97, 105 has count: 129)
297. (105, 266 has count: 33)
298. (266, 351 has count: 48)
299. (351, 345 has count: 5)
300. (345, 263 has count: 6)
301. (32, 338 has count: 38)
302. (338, 99 has count: 24)
303. (111, 99 has count: 108)
304. (99, 107 has count: 104)
305. (107, 116 has count: 2)
306. (116, 97 has count: 131)
307. (108, 32 has count: 249)
308. (32, 100 has count: 53)
309. (100, 114 has count: 22)
310. (114, 310 has count: 74)
311. (310, 115 has count: 112)
312. (10, 282 has count: 43)
313. (282, 266 has count: 208)
314. (266, 97 has count: 29)
315. (97, 266 has count: 219)
316. (266, 275 has count: 65)
317. (275, 261 has count: 23)
318. (261, 50 has count: 101)
319. (50, 51 has count: 145)
320. (51, 32 has count: 38)
321. (32, 77 has count: 160)
322. (77, 84 has count: 48)
323. (84, 86 has count: 29)
324. (86, 32 has count: 22)
325. (32, 86 has count: 38)
326. (101, 111 has count: 100)
327. (111, 32 has count: 225)
328. (77, 312 has count: 133)
329. (312, 340 has count: 221)
330. (340, 32 has count: 166)
331. (32, 65 has count: 161)
332. (65, 119 has count: 112)
333. (119, 271 has count: 130)
334. (271, 100 has count: 277)
335. (100, 115 has count: 78)
336. (10, 66 has count: 5)
337. (66, 291 has count: 5)
338. (291, 110 has count: 11)
339. (110, 9 has count: 1)
340. (9, 309 has count: 1)
341. (309, 65 has count: 3)
342. (65, 108 has count: 112)
343. (108, 105 has count: 190)
344. (115, 279 has count: 33)
345. (279, 282 has count: 5)
346. (282, 116 has count: 58)
347. (68, 342 has count: 207)
348. (342, 314 has count: 194)
349. (314, 49 has count: 207)
350. (51, 257 has count: 22)
351. (257, 49 has count: 6)
352. (49, 57 has count: 144)
353. (57, 56 has count: 44)
354. (56, 57 has count: 41)
355. (57, 32 has count: 41)
356. (32, 40 has count: 265)
357. (40, 97 has count: 2)
358. (256, 51 has count: 16)
359. (51, 52 has count: 22)
360. (52, 41 has count: 10)
361. (87, 310 has count: 16)
362. (310, 266 has count: 108)
363. (266, 281 has count: 8)
364. (100, 296 has count: 11)
365. (296, 257 has count: 15)
366. (257, 80 has count: 22)
367. (80, 290 has count: 17)
368. (290, 110 has count: 65)
369. (110, 115 has count: 31)
370. (115, 121 has count: 22)
371. (121, 108 has count: 50)
372. (108, 118 has count: 28)
373. (118, 270 has count: 17)
374. (270, 105 has count: 45)
375. (257, 85 has count: 2)
376. (85, 83 has count: 46)
377. (83, 10 has count: 2)
378. (10, 79 has count: 5)
379. (79, 99 has count: 200)
380. (99, 117 has count: 25)
381. (117, 112 has count: 46)
382. (97, 298 has count: 199)
383. (264, 115 has count: 46)
384. (83, 296 has count: 25)
385. (296, 278 has count: 34)
386. (278, 45 has count: 38)
387. (45, 115 has count: 31)
388. (264, 103 has count: 202)
389. (103, 119 has count: 80)
390. (119, 265 has count: 101)
391. (265, 116 has count: 134)
392. (116, 272 has count: 75)
393. (272, 112 has count: 23)
394. (111, 100 has count: 94)
395. (100, 117 has count: 52)
396. (117, 99 has count: 70)
397. (99, 272 has count: 7)
398. (272, 100 has count: 10)
399. (105, 320 has count: 35)
400. (320, 99 has count: 111)
401. (99, 116 has count: 58)
402. (116, 283 has count: 10)
403. (283, 98 has count: 5)
404. (98, 312 has count: 9)
405. (312, 263 has count: 17)
406. (263, 310 has count: 21)
407. (115, 119 has count: 8)
408. (119, 286 has count: 31)
409. (286, 270 has count: 30)
410. (270, 32 has count: 276)
411. (32, 97 has count: 67)
412. (10, 89 has count: 1)
413. (89, 101 has count: 73)
414. (271, 262 has count: 27)
415. (262, 97 has count: 46)
416. (99, 298 has count: 28)
417. (298, 118 has count: 51)
418. (118, 101 has count: 55)
419. (101, 9 has count: 2)
420. (9, 261 has count: 1)
421. (261, 48 has count: 90)
422. (48, 52 has count: 11)
423. (52, 226 has count: 3)
424. (226, 128 has count: 97)
425. (128, 147 has count: 54)
426. (147, 112 has count: 2)
427. (310, 290 has count: 12)
428. (87, 291 has count: 43)
429. (291, 107 has count: 70)
430. (108, 98 has count: 65)
431. (353, 115 has count: 14)
432. (115, 115 has count: 110)
