Byte 1, Byte 2, Combined byte
[e], [ ], -> [e ]
[,], [ ], -> [, ]
[d], [ ], -> [d ]
[.], [ ], -> [. ]
[r], [ ], -> [r ]
[2], [0], -> [20]
[s], [ ], -> [s ]
[i], [n], -> [in]
[o], [n], -> [on]
[r], [i], -> [ri]
[t], [ ], -> [t ]
[t], [h], -> [th]
[e], [d ], -> [ed ]
[, ], [20], -> [, 20]
[a], [n], -> [an]
[a], [r], -> [ar]
[e], [r ], -> [er ]
[y], [ ], -> [y ]
[a], [l], -> [al]
[th], [e ], -> [the ]
[v], [ed ], -> [ved ]
[w], [i], -> [wi]
[e], [r], -> [er]
[on], [ ], -> [on ]
[wi], [f], -> [wif]
[R], [e], -> [Re]
[S], [wif], -> [Swif]
[o], [r ], -> [or ]
[c], [h], -> [ch]
[, 20], [1], -> [, 201]
[o], [m], -> [om]
[b], [er ], -> [ber ]
[ ], [the ], -> [ the ]
[a], [y], -> [ay]
[e], [n], -> [en]
[o], [r], -> [or]
[al], [ ], -> [al ]
[e], [m], -> [em]
[.], [
], -> [.
]
[ri], [e], -> [rie]
[in], [g], -> [ing]
[, 20], [2], -> [, 202]
[t], [i], -> [ti]
[ay], [l], -> [ayl]
["], [. ], -> [". ]
[l], [l], -> [ll]
[T], [ayl], -> [Tayl]
[t], [rie], -> [trie]
[.
], [ ], -> [.
 ]
[t], [o], -> [to]
[. ], [Re], -> [. Re]
[. Re], [trie], -> [. Retrie]
[. Retrie], [ved ], -> [. Retrieved ]
[Tayl], [or ], -> [Taylor ]
[e], [s], -> [es]
[Taylor ], [Swif], -> [Taylor Swif]
[u], [s], -> [us]
[r], [om], -> [rom]
[em], [ber ], -> [ember ]
[)], [. ], -> [). ]
[A], [r], -> [Ar]
[f], [rom], -> [from]
[). ], ["], -> [). "]
[an], [d ], -> [and ]
[r], [e], -> [re]
[o], [u], -> [ou]
[o], [ri], -> [ori]
[o], [f], -> [of]
[g], [in], -> [gin]
[ing], [ ], -> [ing ]
[ch], [i], -> [chi]
[]], [ ], -> [] ]
[gin], [al ], -> [ginal ]
[from], [ the ], -> [from the ]
[ori], [ginal ], -> [original ]
[h], [e ], -> [he ]
[Ar], [chi], -> [Archi]
[Archi], [ved ], -> [Archived ]
[from the ], [original ], -> [from the original ]
[Archived ], [from the original ], -> [Archived from the original ]
[Archived from the original ], [on ], -> [Archived from the original on ]
[. ], [Archived from the original on ], -> [. Archived from the original on ]
[a], [ ], -> [a ]
[s], [t], -> [st]
[i], [c], -> [ic]
[.], [[], -> [.[]
[e], [c], -> [ec]
[i], [ll], -> [ill]
['], [s ], -> ['s ]
[Taylor Swif], [t ], -> [Taylor Swift ]
[o], [v], -> [ov]
[a], [t], -> [at]
[a], [s ], -> [as ]
[e], [s ], -> [es ]
[J], [u], -> [Ju]
[of], [ ], -> [of ]
[to], [ ], -> [to ]
[u], [m], -> [um]
[T], [he ], -> [The ]
[ar], [d], -> [ard]
