Byte 1, Byte 2, Merged byte value
101, 114, -> 256
50, 48, -> 257
111, 114, -> 258
105, 110, -> 259
101, 100, -> 260
32, 116, -> 261
111, 110, -> 262
104, 101, -> 263
32, 83, -> 264
97, 114, -> 265
97, 110, -> 266
32, 65, -> 267
261, 263, -> 268
97, 108, -> 269
114, 105, -> 270
118, 260, -> 271
115, 116, -> 272
119, 105, -> 273
32, 82, -> 274
257, 49, -> 275
32, 102, -> 276
257, 50, -> 277
32, 84, -> 278
102, 116, -> 279
97, 121, -> 280
32, 34, -> 281
273, 279, -> 282
101, 116, -> 283
264, 282, -> 284
99, 104, -> 285
98, 256, -> 286
97, 116, -> 287
111, 109, -> 288
101, 115, -> 289
101, 110, -> 290
101, 109, -> 291
34, 46, -> 292
32, 40, -> 293
46, 10, -> 294
259, 103, -> 295
108, 258, -> 296
32, 77, -> 297
105, 103, -> 298
32, 262, -> 299
280, 296, -> 300
108, 108, -> 301
270, 101, -> 302
274, 283, -> 303
303, 302, -> 304
304, 271, -> 305
32, 115, -> 306
105, 99, -> 307
266, 100, -> 308
111, 117, -> 309
101, 99, -> 310
32, 97, -> 311
41, 46, -> 312
114, 288, -> 313
32, 66, -> 314
291, 286, -> 315
32, 111, -> 316
276, 313, -> 317
267, 114, -> 318
32, 308, -> 319
32, 67, -> 320
32, 78, -> 321
32, 258, -> 322
285, 105, -> 323
32, 74, -> 324
259, 269, -> 325
322, 298, -> 326
326, 325, -> 327
318, 323, -> 328
328, 271, -> 329
316, 102, -> 330
32, 104, -> 331
32, 259, -> 332
114, 101, -> 333
84, 300, -> 334
105, 116, -> 335
97, 115, -> 336
32, 112, -> 337
105, 262, -> 338
32, 68, -> 339
32, 119, -> 340
265, 100, -> 341
105, 301, -> 342
39, 115, -> 343
32, 109, -> 344
32, 70, -> 345
32, 87, -> 346
108, 101, -> 347
261, 111, -> 348
32, 99, -> 349
46, 91, -> 350
111, 118, -> 351
108, 121, -> 352
117, 115, -> 353
32, 72, -> 354
105, 115, -> 355
