Byte pair, Frequency
(67, 111), -> [4]
(111, 112), -> [243]
(112, 121), -> [6]
(337, 97), -> [4]
(97, 272), -> [57]
(272, 101), -> [27]
(346, 105), -> [24]
(105, 107), -> [44]
(107, 105), -> [25]
(105, 112), -> [47]
(112, 260), -> [27]
(260, 105), -> [41]
(105, 97), -> [103]
(32, 265), -> [101]
(265, 116), -> [207]
(116, 307), -> [68]
(307, 347), -> [7]
(278, 300), -> [255]
(311, 115), -> [118]
(345, 101), -> [122]
(101, 98), -> [158]
(49, 54), -> [62]
(45, 45), -> [2]
(45, 10), -> [1]
(10, 10), -> [13]
(77, 97), -> [8]
(97, 259), -> [83]
(344, 290), -> [1]
(290, 117), -> [7]
(87, 105), -> [5]
(97, 84), -> [1]
(84, 263), -> [68]
(345, 333), -> [4]
(333, 101), -> [33]
(32, 69), -> [203]
(69, 110), -> [36]
(110, 99), -> [25]
(99, 121), -> [17]
(121, 99), -> [2]
(99, 108), -> [35]
(108, 111), -> [134]
(83, 101), -> [29]
(101, 265), -> [186]
(265, 285), -> [109]
(67, 333), -> [1]
(333, 287), -> [35]
(287, 101), -> [66]
(311, 99), -> [61]
(99, 99), -> [56]
(99, 309), -> [12]
(309, 110), -> [176]
(110, 116), -> [188]
(76, 111), -> [26]
(111, 103), -> [83]
(80, 256), -> [26]
(256, 115), -> [219]
(115, 262), -> [69]
(262, 269), -> [9]
(348, 111), -> [8]
(111, 108), -> [168]
(108, 115), -> [29]
(67, 262), -> [8]
(262, 116), -> [42]
(116, 290), -> [32]
(290, 116), -> [227]
(116, 115), -> [154]
(331, 105), -> [25]
(105, 100), -> [204]
(100, 101), -> [188]
(40, 84), -> [1]
(84, 111), -> [11]
(41, 10), -> [40]
(76, 105), -> [71]
(105, 102), -> [57]
(102, 101), -> [24]
(349, 265), -> [20]
(265, 101), -> [59]
(101, 256), -> [24]
(103, 103), -> [20]
(103, 347), -> [11]
(32, 76), -> [228]
(306, 117), -> [70]
(117, 98), -> [62]
(98, 115), -> [17]
(115, 310), -> [10]
(310, 116), -> [100]
(116, 338), -> [65]
(65, 114), -> [13]
(114, 116), -> [40]
(116, 105), -> [221]
(105, 272), -> [248]
(272, 114), -> [60]
(114, 121), -> [159]
(318, 116), -> [37]
(65, 99), -> [6]
(99, 111), -> [41]
(108, 97), -> [86]
(97, 100), -> [225]
(100, 289), -> [40]
(311, 323), -> [4]
(323, 101), -> [8]
(101, 118), -> [95]
(118, 291), -> [5]
(291, 290), -> [27]
(67, 117), -> [2]
(117, 108), -> [123]
(108, 116), -> [55]
(116, 117), -> [71]
(117, 114), -> [171]
(114, 269), -> [30]
(32, 272), -> [116]
(272, 287), -> [17]
(287, 353), -> [7]
(320, 117), -> [9]
(87, 101), -> [10]
(101, 269), -> [29]
(269, 116), -> [12]
(116, 104), -> [290]
(346, 101), -> [78]
(68, 105), -> [8]
(105, 115), -> [307]
(115, 99), -> [31]
(103, 114), -> [72]
(114, 97), -> [229]
(97, 112), -> [81]
(112, 104), -> [67]
(104, 121), -> [36]
(70, 105), -> [10]
(105, 108), -> [109]
(108, 109), -> [38]
(109, 111), -> [15]
(84, 309), -> [2]
(309, 114), -> [179]
(114, 115), -> [18]
(101, 101), -> [102]
(32, 269), -> [153]
(269, 115), -> [45]
(115, 111), -> [57]
(70, 111), -> [11]
(111, 111), -> [107]
(111, 116), -> [210]
(116, 110), -> [17]
(110, 111), -> [53]
(116, 289), -> [5]
(82, 101), -> [20]
(101, 102), -> [42]
(102, 256), -> [23]
(256, 290), -> [12]
(290, 99), -> [47]
(99, 289), -> [51]
(274, 101), -> [106]
(69, 120), -> [20]
(120, 116), -> [25]
(116, 256), -> [189]
(256, 110), -> [35]
(110, 269), -> [18]
(32, 108), -> [123]
(108, 259), -> [31]
(259, 107), -> [14]
(107, 115), -> [50]
(49, 51), -> [106]
(51, 54), -> [18]
(108, 266), -> [38]
(266, 103), -> [29]
(103, 117), -> [202]
(117, 97), -> [1]
(97, 103), -> [80]
(103, 289), -> [17]
(84, 269), -> [1]
(269, 107), -> [10]
(101, 97), -> [85]
(86, 105), -> [48]
(105, 101), -> [155]
(101, 119), -> [216]
(306, 309), -> [17]
(114, 99), -> [8]
(99, 101), -> [121]
(272, 258), -> [41]
(258, 121), -> [60]
(101, 287), -> [33]
(287, 117), -> [30]
(114, 260), -> [45]
(80, 97), -> [36]
(103, 101), -> [107]
(306, 291), -> [1]
(291, 105), -> [9]
(45, 112), -> [18]
(112, 114), -> [39]
(114, 111), -> [199]
(116, 310), -> [3]
(116, 260), -> [63]
(70, 313), -> [4]
(276, 333), -> [8]
(32, 290), -> [36]
(70, 258), -> [2]
(269, 98), -> [112]
(98, 117), -> [230]
(117, 109), -> [281]
(306, 101), -> [27]
(41, 294), -> [3]
(80, 258), -> [5]
(258, 116), -> [65]
(116, 114), -> [165]
(97, 335), -> [15]
(349, 111), -> [33]
(111, 99), -> [107]
(99, 107), -> [99]
(107, 116), -> [3]
(116, 97), -> [52]
(97, 105), -> [105]
(32, 100), -> [247]
(100, 114), -> [16]
(114, 289), -> [72]
(289, 115), -> [166]
(83, 282), -> [50]
(32, 287), -> [133]
(297, 84), -> [23]
(84, 86), -> [29]
(32, 86), -> [161]
(101, 111), -> [97]
(297, 353), -> [126]
(353, 307), -> [221]
(267, 119), -> [110]
(119, 341), -> [125]
(341, 115), -> [80]
(66, 258), -> [1]
(258, 110), -> [11]
(9, 334), -> [1]
(267, 108), -> [95]
