Byte 1, Byte 2, Combined byte
[e], [r], -> [er]
[2], [0], -> [20]
[o], [r], -> [or]
[i], [n], -> [in]
[e], [d], -> [ed]
[ ], [t], -> [ t]
[o], [n], -> [on]
[h], [e], -> [he]
[ ], [S], -> [ S]
[a], [r], -> [ar]
[a], [n], -> [an]
[ ], [A], -> [ A]
[ t], [he], -> [ the]
[a], [l], -> [al]
[r], [i], -> [ri]
[v], [ed], -> [ved]
[s], [t], -> [st]
[w], [i], -> [wi]
[ ], [R], -> [ R]
[20], [1], -> [201]
[ ], [f], -> [ f]
[20], [2], -> [202]
[ ], [T], -> [ T]
[f], [t], -> [ft]
[a], [y], -> [ay]
[ ], ["], -> [ "]
[wi], [ft], -> [wift]
[e], [t], -> [et]
[ S], [wift], -> [ Swift]
[c], [h], -> [ch]
[b], [er], -> [ber]
[a], [t], -> [at]
[o], [m], -> [om]
[e], [s], -> [es]
[e], [n], -> [en]
[e], [m], -> [em]
["], [.], -> [".]
[ ], [(], -> [ (]
[.], [
], -> [.
]
[in], [g], -> [ing]
[l], [or], -> [lor]
[ ], [M], -> [ M]
[i], [g], -> [ig]
[ ], [on], -> [ on]
[ay], [lor], -> [aylor]
[l], [l], -> [ll]
[ri], [e], -> [rie]
[ R], [et], -> [ Ret]
[ Ret], [rie], -> [ Retrie]
[ Retrie], [ved], -> [ Retrieved]
[ ], [s], -> [ s]
[i], [c], -> [ic]
[an], [d], -> [and]
[o], [u], -> [ou]
[e], [c], -> [ec]
[ ], [a], -> [ a]
[)], [.], -> [).]
[r], [om], -> [rom]
[ ], [B], -> [ B]
[em], [ber], -> [ember]
[ ], [o], -> [ o]
[ f], [rom], -> [ from]
[ A], [r], -> [ Ar]
[ ], [and], -> [ and]
[ ], [C], -> [ C]
[ ], [N], -> [ N]
[ ], [or], -> [ or]
[ch], [i], -> [chi]
[ ], [J], -> [ J]
[in], [al], -> [inal]
[ or], [ig], -> [ orig]
[ orig], [inal], -> [ original]
[ Ar], [chi], -> [ Archi]
[ Archi], [ved], -> [ Archived]
[ o], [f], -> [ of]
[ ], [h], -> [ h]
[ ], [in], -> [ in]
[r], [e], -> [re]
[T], [aylor], -> [Taylor]
[i], [t], -> [it]
[a], [s], -> [as]
[ ], [p], -> [ p]
[i], [on], -> [ion]
[ ], [D], -> [ D]
[ ], [w], -> [ w]
[ar], [d], -> [ard]
[i], [ll], -> [ill]
['], [s], -> ['s]
[ ], [m], -> [ m]
[ ], [F], -> [ F]
[ ], [W], -> [ W]
[l], [e], -> [le]
[ t], [o], -> [ to]
[ ], [c], -> [ c]
[.], [[], -> [.[]
[o], [v], -> [ov]
[l], [y], -> [ly]
[u], [s], -> [us]
[ ], [H], -> [ H]
[i], [s], -> [is]
